aX,aY,aZ,gX,gY,gZ,ts
2.817,1.018,-0.439,25.208,5.31,107.361,1
2.61,0.949,-0.409,4.333,43.701,51.331,1
2.268,0.476,-0.384,5.981,53.284,0,1
1.961,0.828,-0.354,17.7,29.724,-55.054,1
1.782,0.523,-0.324,25.452,-2.197,-3.662,1
1.565,0.07,-0.271,20.203,-33.752,26.794,1
-0.03,1.663,-1.389,338.684,-118.652,-70.557,0
0.185,1.624,-1.723,275.085,-187.073,-95.947,0
0.308,1.526,-1.935,227.966,-237.122,-113.892,0
0.363,1.424,-1.958,208.13,-275.208,-132.568,0
0.486,1.455,-1.894,215.82,-316.467,-151.917,0
0.637,1.55,-1.785,223.45,-362,-179.443,0
0.929,1.656,-1.702,222.961,-401.062,-199.463,0
1.17,1.633,-1.597,210.876,-419.8,-204.163,0
1.377,1.663,-1.441,186.951,-412.17,-206.665,0
1.489,1.653,-1.311,147.644,-387.085,-208.862,0
1.449,1.489,-1.188,107.849,-358.643,-204.224,0
1.363,1.18,-1.005,75.256,-341.858,-207.764,0
1.453,1.198,-0.895,58.96,-340.576,-231.445,0
1.139,0.924,-0.689,57.251,-350.22,-228.76,0
1.313,0.815,-0.595,53.162,-375.366,-277.1,0
1.162,0.855,-0.485,68.604,-384.521,-274.597,0
0.903,0.69,-0.326,68.176,-401.917,-268.982,0
1.057,0.432,-0.274,65.491,-432.068,-302.795,0
1.095,0.411,-0.243,79.651,-440.063,-342.468,0
1.031,0.448,-0.234,97.046,-420.41,-357.056,0
0.967,0.486,-0.237,99.792,-389.648,-365.051,0
0.802,0.469,-0.224,86.182,-364.38,-364.441,0
0.743,0.328,-0.199,64.453,-344.421,-369.324,0
0.612,0.245,-0.192,49.438,-326.599,-382.446,0
0.501,0.228,-0.2,40.1,-313.843,-383.972,0
0.372,0.265,-0.204,23.376,-306.091,-379.7,0
0.277,0.156,-0.177,-1.831,-304.749,-370.972,0
0.192,0.05,-0.117,-19.409,-307.19,-362.976,0
0.162,-0.04,-0.072,-25.635,-306.58,-351.318,0
0.043,-0.101,-0.08,-28.564,-310.974,-346.436,0
0.033,-0.204,-0.078,-27.71,-322.693,-339.111,0
0.1,-0.165,-0.131,-21.118,-334.839,-331.787,0
0.098,-0.067,-0.197,-27.283,-337.646,-328.674,0
0.012,-0.031,-0.183,-51.514,-336.731,-326.721,0
0.004,-0.047,-0.102,-75.012,-334.351,-317.627,0
0.051,-0.062,-0.05,-88.745,-325.378,-310.669,0
-0.001,0.029,-0.085,-97.839,-301.941,-305.847,0
-0.044,0.077,-0.091,-115.906,-272.4,-290.039,0
-0.137,0.075,-0.112,-141.602,-246.826,-277.1,0
-0.228,0.094,-0.113,-167.786,-223.999,-259.094,0
-0.36,0.062,-0.042,-195.679,-206.238,-241.211,0
-0.489,0.069,-0.006,-221.741,-206.665,-228.333,0
-0.461,0.064,-0.021,-240.723,-224.976,-217.285,0
-0.347,0.21,0.049,-253.906,-240.906,-212.524,0
-0.382,0.469,0.114,-283.936,-249.084,-213.196,0
-0.419,0.512,0.37,-337.402,-249.634,-215.027,0
-0.444,0.379,0.733,-385.803,-226.99,-203.247,0
-0.261,0.085,1.131,-397.827,-177.551,-171.509,0
-0.079,-0.219,1.381,-369.446,-112,-129.028,0
-0.233,-0.204,1.544,-299.255,-42.175,-82.947,0
-0.382,0.185,1.656,-212.463,9.888,-38.269,0
-0.368,0.678,1.73,-153.687,19.226,-10.376,0
-0.372,1.059,1.874,-142.7,0.183,-1.953,0
-0.481,1.313,2.089,-165.039,-24.475,-12.878,0
-0.368,1.418,2.483,-193.298,-41.321,-34.668,0
-0.277,1.271,2.87,-213.44,-27.832,-53.65,0
-0.058,0.947,3.097,-198.914,8.85,-65.613,0
0.07,0.777,3.166,-141.113,63.66,-71.655,0
0.117,0.744,3.103,-63.171,123.901,-73.364,0
0.083,0.708,2.9,9.521,171.692,-73.792,0
0.148,0.759,2.596,69.885,200.684,-75.684,0
0.302,0.733,2.292,109.07,220.947,-80.933,0
0.447,0.661,2.036,126.892,239.807,-88.013,0
0.537,0.602,1.809,131.042,263.428,-97.534,0
0.592,0.57,1.62,125.61,293.64,-111.084,0
0.569,0.479,1.476,111.267,325.378,-128.54,0
0.653,0.31,1.377,98.572,353.394,-145.447,0
0.646,0.292,1.247,92.834,372.803,-168.518,0
0.671,0.224,1.086,92.529,386.841,-185.669,0
0.633,0.175,0.994,91.736,398.987,-211.182,0
0.55,0.229,0.904,96.863,406.86,-232.544,0
0.397,0.237,0.78,93.262,409.424,-251.892,0
0.232,0.205,0.667,82.886,402.1,-263.123,0
0.172,0.145,0.564,70.801,385.315,-268.25,0
0.173,0.089,0.493,58.228,365.54,-269.897,0
0.223,0.047,0.471,49.072,346.191,-263.123,0
0.166,-0.002,0.444,40.039,331.909,-259.766,0
0.154,0.002,0.47,35.278,321.777,-255.432,0
0.027,0.029,0.437,30.579,325.684,-247.803,0
-0.03,-0.094,0.38,25.33,331.604,-236.389,0
-0.041,-0.14,0.286,19.47,329.651,-224.976,0
-0.129,-0.181,0.279,6.165,325.745,-217.957,0
-0.181,-0.205,0.299,-3.479,324.036,-206.787,1
-0.274,-0.297,0.31,-9.216,316.956,-189.758,1
-0.35,-0.39,0.302,-4.944,301.331,-165.466,1
-0.554,-0.329,0.282,5.188,277.466,-133.057,1
-0.529,-0.62,0.277,7.69,243.225,-100.281,1
-0.335,-0.809,0.271,10.803,209.961,-138.245,1
-0.516,-0.584,0.236,53.223,192.139,-124.817,1
-0.552,-0.457,0.171,89.844,174.377,-55.115,1
-0.526,-0.476,0.131,98.755,155.701,14.16,1
-0.47,-0.519,0.042,100.159,137.939,70.496,1
-0.33,-0.506,-0.042,104.37,127.014,119.446,1
-0.244,-0.536,-0.069,104.553,137.207,163.757,1
-0.23,-0.518,-0.053,107.239,154.724,202.698,1
-0.122,-0.261,-0.118,118.347,161.194,238.342,1
0.056,-0.149,-0.319,127.747,149.414,260.437,1
0.391,0.179,-0.545,132.935,117.432,261.536,1
0.82,0.374,-0.698,127.014,66.772,240.723,1
1.339,0.482,-0.727,111.206,16.724,201.721,1
1.67,0.581,-0.683,87.219,-13.306,151.306,1
1.918,0.668,-0.635,70.374,-29.419,123.047,1
2.263,0.804,-0.638,64.636,-34.79,117.126,1
2.309,0.8,-0.58,64.087,-20.752,129.639,1
2.342,0.67,-0.534,50.476,-6.897,95.276,1
