aX,aY,aZ,gX,gY,gZ,ts
0.718,0.362,0.981,87.952,-64.209,186.829,1
0.725,0.407,0.965,85.266,-59.753,175.781,1
0.852,0.343,0.896,77.637,-62.134,166.504,1
0.895,0.448,0.86,72.571,-41.016,156.921,1
0.862,0.391,0.801,59.448,-22.583,149.353,1
0.886,0.402,0.758,48.95,-8.911,143.799,1
0.94,0.421,0.705,34.241,8.179,134.705,1
0.884,0.273,0.732,16.541,33.386,121.887,1
0.796,0.338,0.708,5.737,46.997,103.76,1
0.764,0.25,0.735,-5.005,56.03,90.637,1
0.652,0.226,0.769,-11.719,52.124,74.524,1
0.639,0.201,0.788,-12.817,36.987,60.364,1
0.642,0.178,0.794,-12.756,23.132,46.692,1
0.606,0.17,0.816,-12.329,15.625,34.912,1
0.564,0.118,0.836,-10.01,10.437,23.865,1
0.517,0.098,0.871,-2.38,4.944,14.954,1
0.468,0.063,0.881,6.348,-0.916,6.653,1
0.443,0.072,0.868,15.198,-3.967,2.258,1
0.43,0.044,0.867,19.714,-1.587,0,1
0.405,0.041,0.864,20.386,2.38,-2.563,1
0.386,0.009,0.854,17.334,6.409,-5.676,1
0.353,0.01,0.834,12.512,11.169,-10.315,1
1.231,0.658,-0.763,37.659,-47.058,-47.668,0
1.299,0.653,-0.809,40.039,-63.171,-57.678,0
1.393,0.663,-0.858,45.959,-77.026,-64.758,0
1.479,0.7,-0.911,53.711,-84.656,-72.144,0
1.476,0.733,-0.922,57.312,-85.999,-81.543,0
1.468,0.741,-0.904,56.885,-83.74,-90.027,0
1.487,0.736,-0.889,53.894,-82.153,-98.389,0
1.504,0.748,-0.873,50.964,-84.229,-106.812,0
1.528,0.747,-0.836,48.523,-89.355,-115.417,0
1.525,0.711,-0.794,45.105,-96.741,-126.709,0
1.547,0.693,-0.761,43.701,-106.628,-140.015,0
1.516,0.685,-0.716,42.175,-114.502,-155.518,0
1.458,0.658,-0.635,36.438,-118.042,-171.204,0
1.423,0.598,-0.579,28.687,-117.065,-185.547,0
1.391,0.556,-0.525,23.499,-109.68,-197.998,0
1.275,0.498,-0.46,19.165,-97.473,-208.74,0
1.195,0.433,-0.429,18.372,-89.6,-216.98,0
1.094,0.385,-0.397,18.982,-85.938,-223.572,0
0.984,0.33,-0.354,18.066,-82.764,-228.577,0
0.877,0.276,-0.302,18.066,-80.994,-233.887,0
0.728,0.217,-0.244,22.339,-79.956,-235.718,0
0.655,0.169,-0.237,29.663,-78.552,-236.633,0
0.583,0.16,-0.254,35.461,-79.468,-238.464,0
0.491,0.111,-0.255,38.025,-80.75,-239.685,0
0.406,0.029,-0.27,38.025,-84.656,-243.774,0
0.351,0.028,-0.295,36.621,-90.881,-246.582,0
0.287,-0.021,-0.29,31.006,-94.238,-247.192,0
0.226,-0.078,-0.279,26.062,-96.13,-247.253,0
0.186,-0.106,-0.315,24.414,-99.426,-243.286,0
0.18,-0.136,-0.336,24.109,-101.99,-232.605,0
0.163,-0.169,-0.382,20.142,-105.225,-226.929,0
0.139,-0.202,-0.401,12.268,-108.215,-223.755,0
0.147,-0.228,-0.413,1.77,-109.619,-222.473,0
0.112,-0.24,-0.412,-10.742,-110.168,-223.083,0
0.068,-0.237,-0.401,-24.902,-111.694,-222.046,1
0.05,-0.284,-0.394,-39.246,-117.798,-221.985,1
0.045,-0.285,-0.368,-48.584,-126.038,-220.52,1
0.068,-0.278,-0.373,-57.617,-131.836,-222.534,1
0.096,-0.244,-0.344,-68.115,-128.601,-212.402,1
0.063,-0.285,-0.308,-80.2,-124.878,-197.815,1
0.053,-0.31,-0.267,-90.21,-119.324,-187.805,1
0.059,-0.329,-0.241,-97.534,-108.948,-180.176,1
0.029,-0.326,-0.198,-103.638,-95.276,-173.767,1
-0.048,-0.33,-0.158,-111.084,-83.862,-166.016,1
-0.1,-0.328,-0.115,-117.554,-76.477,-151.55,1
-0.109,-0.372,-0.067,-124.146,-73.303,-137.085,1
