aX,aY,aZ,gX,gY,gZ,ts
0.996,-0.138,0.009,-10.071,13.672,-10.62,0
0.985,-0.17,-0.029,-11.536,14.771,-11.536,0
0.926,-0.195,-0.041,-15.686,16.357,-20.203,0
0.947,-0.172,-0.059,-15.198,15.625,-28.381,0
0.945,-0.119,-0.081,-7.812,17.029,-19.409,0
0.92,-0.207,-0.058,-4.272,15.869,-9.338,0
0.91,-0.163,-0.068,-0.61,10.742,-11.292,0
0.851,-0.085,-0.07,9.399,11.719,5.371,0
0.949,-0.189,-0.104,3.906,12.451,6.897,0
0.907,0.027,-0.066,5.249,15.747,-6.042,0
0.959,-0.19,-0.081,10.193,11.536,21.667,0
0.863,-0.185,-0.05,-4.883,15.869,-17.273,0
0.879,0.014,-0.046,10.864,9.094,-6.287,0
0.897,-0.236,-0.032,0,5.371,-4.211,0
0.917,-0.128,-0.027,3.357,3.296,-11.475,0
0.881,-0.102,-0.01,10.01,5.554,-2.625,0
0.889,-0.177,-0.005,6.653,4.578,2.136,0
0.862,-0.117,-0.007,10.437,0.916,2.258,0
0.88,-0.262,0.032,13.245,-2.075,-5.066,0
0.854,-0.147,0.02,20.447,-7.263,-14.587,0
0.836,-0.128,-0.005,27.527,-11.414,-13,0
0.859,-0.084,-0.029,32.959,-11.475,-5.31,0
0.809,-0.094,-0.01,31.921,-7.751,-0.366,0
1.245,0.528,-0.869,-5.127,-117.249,104.126,0
1.364,0.585,-0.851,-6.897,-118.53,107.544,0
1.477,0.653,-0.818,-9.766,-115.173,104.431,0
1.605,0.716,-0.791,-14.16,-102.539,94.482,0
1.729,0.778,-0.763,-18.738,-80.2,79.102,0
1.793,0.835,-0.722,-25.391,-54.26,60.059,0
1.847,0.92,-0.661,-33.691,-28.992,39.734,0
1.853,0.971,-0.66,-44.189,-6.897,15.015,0
1.779,0.968,-0.658,-59.937,10.742,-14.221,0
1.677,0.991,-0.638,-77.087,20.874,-47.424,0
1.607,0.984,-0.594,-97.473,18.25,-80.627,0
1.566,0.933,-0.526,-118.042,5.554,-106.628,0
1.538,0.87,-0.473,-131.714,-11.658,-125.977,0
1.52,0.806,-0.404,-136.536,-29.602,-141.846,0
1.527,0.801,-0.356,-133.118,-43.213,-156.494,0
1.519,0.802,-0.3,-126.831,-51.331,-169.922,0
1.506,0.814,-0.251,-122.009,-56.274,-183.777,0
1.501,0.843,-0.208,-118.774,-57.617,-197.571,0
1.505,0.839,-0.153,-120.3,-54.993,-212.097,0
1.486,0.81,-0.098,-124.878,-47.302,-228.455,0
1.416,0.787,-0.022,-130.737,-34.241,-246.826,0
1.332,0.771,0.024,-135.742,-19.47,-265.564,0
1.25,0.722,0.072,-142.578,-7.751,-288.696,0
1.199,0.64,0.135,-148.56,3.235,-310.974,0
1.153,0.581,0.173,-152.283,18.677,-335.876,0
1.075,0.53,0.197,-152.1,37.048,-354.431,0
0.963,0.507,0.2,-148.193,56.091,-365.845,0
0.805,0.457,0.21,-144.165,72.693,-371.826,0
0.689,0.42,0.184,-140.442,84.473,-372.681,0
0.562,0.321,0.169,-140.015,90.271,-372.253,0
0.476,0.246,0.142,-140.564,90.088,-375.488,0
0.394,0.236,0.174,-132.568,87.463,-361.572,0
0.739,0.439,0.094,-119.385,97.839,-310.852,0
0.831,0.116,0.187,-137.085,153.992,-258.911,0
0.019,-0.294,0.256,-180.908,199.463,-346.802,0
0.292,0.077,0.152,-160.828,182.373,-388.733,0
0.249,0.147,0.177,-135.132,182.983,-342.285,0
-0.019,-0.092,0.165,-161.987,196.96,-348.328,0
0.056,-0.083,0.088,-172.302,193.42,-338.44,0
-0.096,-0.26,0.113,-177.307,190.063,-321.655,0
-0.16,-0.332,0.13,-179.016,175.903,-323.914,0
-0.201,-0.32,0.125,-165.771,162.292,-307.495,0
-0.261,-0.38,0.123,-161.194,153.992,-294.861,0
-0.337,-0.392,0.107,-154.541,141.846,-276.306,0
-0.333,-0.471,0.112,-148.254,120.239,-259.888,0
-0.378,-0.497,0.091,-138.55,98.877,-248.352,0
-0.387,-0.501,0.096,-123.474,80.2,-229.248,0
-0.487,-0.544,0.145,-112.61,60.364,-213.989,0
-0.412,-0.475,0.138,-97.473,36.621,-192.627,0
-0.308,-0.533,0.137,-86.121,28.198,-171.021,0
-0.402,-0.543,0.089,-80.566,41.87,-161.743,0
-0.292,-0.61,0.076,-82.092,60.181,-161.682,0
-0.483,-0.454,0.079,-77.82,85.388,-157.654,0
-0.433,-0.317,0.085,-80.811,106.628,-121.948,0
-0.61,-0.375,0.165,-106.14,135.193,-84.167,0
-0.948,-0.724,0.256,-119.751,123.23,-43.396,0
-0.74,-1.013,0.298,-108.826,63.538,-52.795,0
-0.751,-0.729,0.24,-80.444,24.231,-95.093,0
-0.699,-0.676,0.204,-59.021,5.981,-86.243,0
-0.744,-0.736,0.223,-52.185,-0.061,-74.707,0
-0.786,-0.733,0.243,-40.466,-11.414,-61.401,0
-0.754,-0.681,0.243,-27.954,-20.691,-48.889,0
-0.742,-0.627,0.221,-26.367,-15.32,-40.039,0
-0.735,-0.615,0.257,-33.325,2.563,-20.691,0
-0.887,-0.67,0.323,-45.898,20.752,7.385,0
-0.936,-0.776,0.341,-51.758,27.71,41.748,0
-1.044,-0.787,0.341,-49.438,32.593,70.068,0
-1.047,-0.702,0.347,-42.419,30.701,99.365,0
-1.112,-0.703,0.43,-41.687,22.278,139.282,0
-1.155,-0.789,0.439,-43.701,-5.005,191.04,0
-1.037,-0.823,0.327,-36.621,-32.104,244.751,0
-0.992,-0.793,0.242,-30.579,-40.71,282.227,0
-0.966,-0.805,0.176,-39.673,-55.176,315.491,0
-0.799,-0.805,0.088,-47.058,-69.031,350.403,0
-0.659,-0.808,0.092,-52.307,-70.862,382.996,0
-0.482,-0.825,0.103,-58.167,-60.425,412.537,0
-0.253,-0.894,0.114,-61.218,-38.574,442.261,0
-0.095,-0.975,0.219,-54.382,-9.644,471.924,0
0.116,-1.074,0.295,-36.438,23.254,495.3,0
0.219,-1.111,0.297,-10.742,57.983,510.559,0
0.446,-0.989,0.293,25.574,91.431,526.978,0
0.554,-0.877,0.259,69.397,124.023,541.382,0
0.437,-0.836,0.283,113.342,148.071,539.001,0
0.373,-0.598,0.171,175.659,137.451,524.597,0
0.467,-0.168,0.004,247.62,99.609,505.798,0
0.718,0.301,-0.106,299.316,56.396,477.478,0
0.875,0.634,-0.221,311.096,15.503,435.059,0
