aX,aY,aZ,gX,gY,gZ,ts
0.107,-0.755,-0.542,-64.453,19.348,3.601,0
0.121,-0.775,-0.494,-72.266,11.719,18.372,0
0.143,-0.759,-0.485,-80.261,-1.343,30.518,0
0.153,-0.734,-0.472,-91.614,-10.925,35.095,0
0.151,-0.707,-0.456,-106.323,-15.625,36.316,0
0.151,-0.738,-0.419,-121.704,-23.193,40.466,0
0.147,-0.741,-0.39,-134.949,-32.41,39.063,0
0.118,-0.685,-0.363,-145.081,-41.626,37.598,0
0.093,-0.65,-0.291,-157.166,-51.453,42.358,0
0.107,-0.667,-0.215,-170.532,-60.486,49.561,0
0.149,-0.698,-0.147,-178.894,-70.801,56.702,0
0.192,-0.708,-0.102,-179.138,-82.153,57.434,0
0.234,-0.594,-0.102,-174.438,-87.952,54.382,0
0.268,-0.517,-0.076,-174.255,-82.397,62.134,0
0.275,-0.49,-0.06,-180.786,-75.623,68.176,0
0.281,-0.38,-0.045,-186.646,-70.007,71.472,0
0.26,-0.307,-0.015,-195.923,-66.895,74.951,0
0.238,-0.279,0.086,-209.595,-67.2,75.623,0
0.234,-0.322,0.241,-220.642,-68.726,77.515,0
0.23,-0.36,0.382,-220.642,-71.655,83.374,0
0.282,-0.37,0.475,-207.275,-80.261,92.407,0
0.422,-0.342,0.548,-185.913,-90.515,102.173,0
0.472,-0.218,0.631,-161.865,-96.008,110.84,0
0.564,-0.085,0.727,-143.188,-97.839,114.807,0
0.671,0.018,0.827,-132.507,-96.802,114.502,0
0.801,0.189,0.957,-126.465,-92.773,108.765,0
0.883,0.347,1.129,-127.563,-85.693,95.459,0
0.976,0.364,1.293,-136.963,-78.491,78.674,0
1.039,0.327,1.43,-146.667,-70.313,60.547,0
1.059,0.228,1.571,-150.696,-60.669,41.504,0
1.072,0.129,1.634,-143.86,-47.974,24.841,0
1.049,0.067,1.634,-126.465,-31.86,19.165,0
0.981,-0.001,1.617,-105.103,-15.076,15.869,0
0.94,0.016,1.573,-79.895,-5.859,12.024,0
0.996,-0.005,1.519,-59.265,3.235,14.038,0
0.944,-0.091,1.476,-44.739,14.16,13.367,0
0.801,0.245,1.359,-32.166,17.639,1.587,0
0.844,-0.021,1.354,-34.058,20.935,16.418,0
0.678,0.003,1.25,-41.138,11.475,11.169,0
0.775,-0.193,1.233,-33.936,5.676,8.728,0
0.71,-0.154,1.133,-26.062,-11.292,1.953,0
0.727,-0.154,1.072,-18.311,-3.54,9.399,0
0.733,-0.337,1.025,-14.709,6.165,12.146,0
0.652,-0.176,0.976,-0.854,16.663,-4.211,0
